Description,Category
frequent traffic jams n highway.,Transport
Footpath tiles uneven and dangerous near Main Road.,Public Works Department
newly constructed footp@h @ temple already broken.,Public Works Department
Online complaint portal not working for several days.,CM Office (Miscellaneous)
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
Suspicious activities happening around Hospital every night.,Police
"loud music playing l@e night @ school, no action taken.",Police
Illegal construction at Temple blocking road access.,Development Authority
plot boundaries changed illegally n highway. pls do something asap!,Development Authority
Illegal hoardings at Colony causing obstruction.,Development Authority
grievance no. cm8735 pending without upd@e.,CM Office (Miscellaneous)
Frequent traffic jams near Bus Stand.,Transport
auto drivers overcharging passengers n highway.,Transport
Road at Colony has deep potholes causing accidents.,Public Works Department
Traffic signal malfunctioning near Park.,Transport
Frequent traffic jams near School.,Transport
Illegal hoardings at Park causing obstruction.,Development Authority
Road at Main Road has deep potholes causing accidents.,Public Works Department
Newly constructed footpath at Market already broken.,Public Works Department
Frequent delays in public buses at Market. pls do something asap!,Transport
Newly constructed footpath at Main Road already broken.,Public Works Department
Drainage blocked near Park causing flooding.,Public Works Department
Bus stop shelter at Temple damaged and unsafe.,Transport
Bus stop shelter at Metro Station damaged and unsafe.,Transport
Public nuisance by drunk people at Market.,Police
Open manhole causing danger near Hospital.,Municipal
heavy vehicles blocking main road n hospital.,Transport
Heavy vehicles blocking main road near School. pls do something asap!,Transport
Public toilet at School is dirty and broken.,Municipal
"Streetlight not working in Market, unsafe at night.",Municipal
Drainage blocked near Market causing flooding.,Public Works Department
Encroachment on government land near Metro Station.,Development Authority
Dumping of debris on open land near Temple. pls do something asap!,Development Authority
Auto drivers overcharging passengers near Temple.,Transport
"Burglary reported at Main Road, no investigation done.",Police
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
illegal construction @ market blocking road access.,Development Authority
traffic signal malfunctioning n hospital.,Transport
Open manhole causing danger near Temple. pls do something asap!,Municipal
open manhole causing danger n school.,Municipal
Plot boundaries changed illegally near Temple.,Development Authority
"Loud music playing late night at Hospital, no action taken.",Police
heavy vehicles blocking main road n school.,Transport
newly constructed footp@h @ bus stand already broken.,Public Works Department
Cement road at Temple cracked within a week of repair.,Public Works Department
Still waiting for action on request raised 13 days ago.,CM Office (Miscellaneous)
Plot boundaries changed illegally near Highway.,Development Authority
Encroachment on government land near Market.,Development Authority
frequent traffic jams n hospital.,Transport
Illegal construction at Highway blocking road access.,Development Authority
illegal hoardings @ park causing obstruction.,Development Authority
Assault reported outside Metro Station.,Police
"Drainage overflow at Temple, foul smell everywhere.",Municipal
Heavy vehicles blocking main road near School.,Transport
Public toilet at Highway is dirty and broken.,Municipal
chain sn@ching reported yesterday n park.,Police
garbage not collected fr 3 days n metro st@ion.,Municipal
"Drainage overflow at Main Road, foul smell everywhere.",Municipal
Public toilet at Metro Station is dirty and broken.,Municipal
Water supply disrupted since 10 days in Highway.,Municipal
Cement road at Temple cracked within a week of repair.,Public Works Department
Land dispute reported at School.,Development Authority
unauthorized shops set up n bus stand.,Development Authority
Stray dogs attacking people near Hospital.,Municipal
Frequent delays in public buses at School. pls do something asap!,Transport
"Theft occurred at Highway, no police arrived yet.",Police
Suspicious activities happening around Bus Stand every night.,Police
overhead bridge construction delayed n highway.,Public Works Department
Traffic signal malfunctioning near Park.,Transport
"drainage overflow @ main road, foul smell everywhere.",Municipal
overhead bridge construction delayed n main road.,Public Works Department
Cement road at Hospital cracked within a week of repair.,Public Works Department
"Road divider missing near Market, causing accidents.",Transport
Frequent delays in public buses at Market.,Transport
Officials not responding to grievance at Market.,CM Office (Miscellaneous)
Department staff being rude and unhelpful.,CM Office (Miscellaneous)
"Burglary reported at School, no investigation done.",Police
Illegal construction at Bus Stand blocking road access.,Development Authority
online complaint portal not working fr several days.,CM Office (Miscellaneous)
Heavy vehicles blocking main road near Hospital.,Transport
Drainage blocked near Bus Stand causing flooding.,Public Works Department
Building being constructed without permission near Metro Station.,Development Authority
chain sn@ching reported yesterday n hospital.,Police
Suspicious activities happening around Market every night.,Police
Water supply disrupted since 5 days in Main Road. pls do something asap!,Municipal
Open manhole causing danger near Market.,Municipal
Frequent delays in public buses at Colony.,Transport
"Streetlight not working in School, unsafe at night.",Municipal
Frequent delays in public buses at Colony.,Transport
Open manhole causing danger near Highway.,Municipal
Traffic signal malfunctioning near Market.,Transport
"Theft occurred at Hospital, no police arrived yet.",Police
no acknowledgment received fr complaint submitted last week.,CM Office (Miscellaneous)
Illegal construction at Park blocking road access.,Development Authority
Street repair left incomplete at Highway.,Public Works Department
"Burglary reported at Park, no investigation done.",Police
Road at Colony has deep potholes causing accidents.,Public Works Department
"Streetlight not working in Main Road, unsafe at night.",Municipal
cement road @ highway cracked within a week of repair.,Public Works Department
Buses not stopping at Main Road despite schedule.,Transport
