Description,Category
Construction debris dumped near Sector 12. needs immediate attention.,Development Authority
Public dustbins overflowing and not cleaned. request urgent action.,Municipal
Streetlights not working since last week in Central Avenue. situation getting worse.,Municipal
Fogging not done properly leading to mosquito menace. facing issues since last week.,Municipal
Heavy traffic jam at school every morning. facing issues since last week.,Transport
Application not processed even after multiple visits. facing issues since last week.,CM Office (Miscellaneous)
No proper communication from officials on issue raised. kindly look into this.,CM Office (Miscellaneous)
Women feel unsafe walking home after 7 PM. situation getting worse.,Police
Theft cases increasing in Green Park. Please increase patrolling. please resolve soon.,Police
Staff behavior rude and unhelpful in office. request urgent action.,CM Office (Miscellaneous)
Accidents happening due to no speed breakers at temple. request urgent action.,Transport
Road full of potholes at park. please resolve soon.,Public Works Department
Flyover construction delay leading to congestion. needs immediate attention.,Transport
Flyover joints damaged and causing vehicle imbalance. facing issues since last week.,Public Works Department
Water stagnation near bus stop due to poor drainage. facing issues since last week.,Public Works Department
Illegal gambling happening behind bus depot. situation getting worse.,Police
Loud noise and public nuisance every night around hospital. kindly look into this.,Police
Illegal gambling happening behind community hall. please resolve soon.,Police
Need urgent help regarding electricity bill issue. kindly look into this.,CM Office (Miscellaneous)
Illegal gambling happening behind signal point. request urgent action.,Police
Loud noise and public nuisance every night around hospital. facing issues since last week.,Police
Pedestrian crossing signal not working at market area. request urgent action.,Transport
"Footpath broken near XYZ Nagar, pedestrians facing issues.",Public Works Department
Broken divider near petrol bunk causing jams. please resolve soon.,Transport
"Street damaged after rain, vehicles skidding. facing issues since last week.",Public Works Department
Chain snatching reported near community hall. Please take action.,Police
Flyover construction delay leading to congestion. needs immediate attention.,Transport
Culvert repair pending at Hill View. facing issues since last week.,Public Works Department
Violation of building norms at bus stop. needs immediate attention.,Development Authority
Streetlights not working since last week in Downtown. please resolve soon.,Municipal
People blocking roads with illegal sheds. needs immediate attention.,Development Authority
Unauthorized shops operating near signal point. situation getting worse.,Development Authority
"Footpath broken near MG Road, pedestrians facing issues. needs immediate attention.",Public Works Department
Autos refusing passengers in Lakeview. kindly look into this.,Transport
Application not processed even after multiple visits. please resolve soon.,CM Office (Miscellaneous)
Drainage overflow causing bad smell near railway station.,Municipal
Road full of potholes at bus stop. please resolve soon.,Public Works Department
Citizen grievance unresolved despite repeated attempts. needs immediate attention.,CM Office (Miscellaneous)
Broken divider near junction causing jams. situation getting worse.,Transport
Plot disputes not being resolved on time. facing issues since last week.,Development Authority
Plot disputes not being resolved on time. kindly look into this.,Development Authority
Online complaint portal not working for days. needs immediate attention.,CM Office (Miscellaneous)
Drainage overflow causing bad smell near school. situation getting worse.,Municipal
Streetlights not working since last week in ABC Colony. facing issues since last week.,Municipal
Complaint regarding layout approval delay. kindly look into this.,Development Authority
Fogging not done properly leading to mosquito menace. kindly look into this.,Municipal
